"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 18:02:28 UTC 2025","Thu Jul 24 18:02:28 UTC 2025","92","","com.example.tests.UpdateUserTest","","com.example.tests.UpdateUserTest","testUpdateUserInvalidEmail","testUpdateUserInvalidEmail()",""
"passed","Thu Jul 24 18:02:28 UTC 2025","Thu Jul 24 18:02:28 UTC 2025","133","","com.example.tests.UpdateUserTest","","com.example.tests.UpdateUserTest","testUpdateUserMissingName","testUpdateUserMissingName()",""
"failed","Thu Jul 24 18:02:27 UTC 2025","Thu Jul 24 18:02:28 UTC 2025","400","","com.example.tests.UpdateUserTest","","com.example.tests.UpdateUserTest","testUpdateUserStringId","testUpdateUserStringId()",""
"passed","Thu Jul 24 18:02:26 UTC 2025","Thu Jul 24 18:02:27 UTC 2025","81","","com.example.tests.CreateUserTest","","com.example.tests.CreateUserTest","testCreateUserWithExtraFields","testCreateUserWithExtraFields()",""
"passed","Thu Jul 24 18:02:26 UTC 2025","Thu Jul 24 18:02:26 UTC 2025","135","","com.example.tests.CreateUserTest","","com.example.tests.CreateUserTest","testCreateUserMissingName","testCreateUserMissingName()",""
"passed","Thu Jul 24 18:02:26 UTC 2025","Thu Jul 24 18:02:26 UTC 2025","512","","com.example.tests.CreateUserTest","","com.example.tests.CreateUserTest","testCreateUserOnlyUsername","testCreateUserOnlyUsername()",""
"passed","Thu Jul 24 18:02:27 UTC 2025","Thu Jul 24 18:02:27 UTC 2025","47","","com.example.tests.ReadUserTest","","com.example.tests.ReadUserTest","testGetUserById","testGetUserById()",""
"passed","Thu Jul 24 18:02:25 UTC 2025","Thu Jul 24 18:02:26 UTC 2025","354","","com.example.tests.CreateUserTest","","com.example.tests.CreateUserTest","testCreateUserInvalidEmail","testCreateUserInvalidEmail()",""
"passed","Thu Jul 24 18:02:26 UTC 2025","Thu Jul 24 18:02:26 UTC 2025","141","","com.example.tests.CreateUserTest","","com.example.tests.CreateUserTest","testCreateUser","testCreateUser()",""
"passed","Thu Jul 24 18:02:27 UTC 2025","Thu Jul 24 18:02:27 UTC 2025","69","","com.example.tests.ReadUserTest","","com.example.tests.ReadUserTest","testGetUserWithoutId","testGetUserWithoutId()",""
"passed","Thu Jul 24 18:02:25 UTC 2025","Thu Jul 24 18:02:25 UTC 2025","134","","com.example.tests.DeleteUserTest","","com.example.tests.DeleteUserTest","testDeleteNonExistentUser","testDeleteNonExistentUser()",""
"passed","Thu Jul 24 18:02:25 UTC 2025","Thu Jul 24 18:02:25 UTC 2025","82","","com.example.tests.DeleteUserTest","","com.example.tests.DeleteUserTest","testDeleteWithNoId","testDeleteWithNoId()",""
"passed","Thu Jul 24 18:02:27 UTC 2025","Thu Jul 24 18:02:27 UTC 2025","124","","com.example.tests.ReadUserTest","","com.example.tests.ReadUserTest","testGetUserByStringId","testGetUserByStringId()",""
"passed","Thu Jul 24 18:02:28 UTC 2025","Thu Jul 24 18:02:28 UTC 2025","117","","com.example.tests.UpdateUserTest","","com.example.tests.UpdateUserTest","testUpdateUserEmptyBody","testUpdateUserEmptyBody()",""
"failed","Thu Jul 24 18:02:28 UTC 2025","Thu Jul 24 18:02:28 UTC 2025","143","","com.example.tests.UpdateUserTest","","com.example.tests.UpdateUserTest","testUpdateNonExistentUser","testUpdateNonExistentUser()",""
"failed","Thu Jul 24 18:02:25 UTC 2025","Thu Jul 24 18:02:25 UTC 2025","138","","com.example.tests.DeleteUserTest","","com.example.tests.DeleteUserTest","testDeleteWithStringId","testDeleteWithStringId()",""
"passed","Thu Jul 24 18:02:23 UTC 2025","Thu Jul 24 18:02:25 UTC 2025","1224","","com.example.tests.DeleteUserTest","","com.example.tests.DeleteUserTest","testDeleteWithNegativeId","testDeleteWithNegativeId()",""
"failed","Thu Jul 24 18:02:27 UTC 2025","Thu Jul 24 18:02:27 UTC 2025","125","","com.example.tests.ReadUserTest","","com.example.tests.ReadUserTest","testGetNonExistentUser","testGetNonExistentUser()",""
"passed","Thu Jul 24 18:02:27 UTC 2025","Thu Jul 24 18:02:27 UTC 2025","90","","com.example.tests.ReadUserTest","","com.example.tests.ReadUserTest","testGetAllUsers","testGetAllUsers()",""
"passed","Thu Jul 24 18:02:28 UTC 2025","Thu Jul 24 18:02:28 UTC 2025","146","","com.example.tests.UpdateUserTest","","com.example.tests.UpdateUserTest","testUpdateUser","testUpdateUser()",""
"passed","Thu Jul 24 18:02:25 UTC 2025","Thu Jul 24 18:02:25 UTC 2025","74","","com.example.tests.DeleteUserTest","","com.example.tests.DeleteUserTest","testDeleteUser","testDeleteUser()",""
"failed","Thu Jul 24 18:02:27 UTC 2025","Thu Jul 24 18:02:27 UTC 2025","131","","com.example.tests.ReadUserTest","","com.example.tests.ReadUserTest","testGetUserNegativeId","testGetUserNegativeId()",""
"passed","Thu Jul 24 18:02:26 UTC 2025","Thu Jul 24 18:02:26 UTC 2025","143","","com.example.tests.CreateUserTest","","com.example.tests.CreateUserTest","testCreateUserEmptyBody","testCreateUserEmptyBody()",""
